epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,21143.6,1.12399,0.76708,0.00763,0.82525,0.72083,0.82203,0.59995,1.05056,0.79773,0.00825,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
31,21835.5,1.11785,0.77116,0.00759,0.82827,0.71765,0.82164,0.59949,1.05028,0.79757,0.00826,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,22527.2,1.11005,0.75556,0.0075,0.83259,0.71727,0.82198,0.59966,1.049,0.79897,0.00826,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
33,23218.8,1.10251,0.75151,0.00741,0.83013,0.71588,0.82089,0.59905,1.04865,0.80228,0.00824,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
34,23909.4,1.09633,0.74091,0.00735,0.82518,0.7185,0.81961,0.59885,1.04853,0.80238,0.00823,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
35,24599.9,1.08836,0.73354,0.00724,0.82786,0.71874,0.82085,0.59982,1.04746,0.80219,0.00822,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
36,25297.4,1.08244,0.72332,0.00718,0.82652,0.71892,0.82069,0.59944,1.0475,0.80125,0.00824,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
37,25992.4,1.0756,0.71629,0.00709,0.82923,0.71926,0.82263,0.60098,1.04823,0.7986,0.00822,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
38,26711.6,1.06628,0.70904,0.00705,0.82787,0.72165,0.8233,0.6015,1.04756,0.79781,0.00822,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
39,27427.9,1.06104,0.699,0.00695,0.83072,0.72083,0.82388,0.60204,1.04745,0.79758,0.00824,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
40,28135.8,1.05222,0.68987,0.00687,0.83115,0.72146,0.82497,0.60299,1.04766,0.79765,0.00822,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
41,28830.4,1.04269,0.6766,0.00676,0.83709,0.71974,0.82513,0.60297,1.04687,0.80001,0.00821,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
42,29520.8,1.03693,0.66615,0.00668,0.83666,0.72047,0.82505,0.60312,1.04808,0.80089,0.00823,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404
43,30214.7,1.02796,0.66217,0.00659,0.83776,0.7171,0.82468,0.60325,1.04739,0.80307,0.00822,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
44,30904.6,1.01897,0.64861,0.0065,0.83711,0.71873,0.82449,0.60371,1.04788,0.80305,0.00823,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486
45,31595.8,1.00736,0.63871,0.00639,0.83602,0.7201,0.82442,0.60382,1.0484,0.80495,0.00824,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
46,32289.4,1.0015,0.62634,0.00632,0.8446,0.71665,0.82455,0.60361,1.04918,0.80871,0.00825,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
